"","IDname","Duration","RMS_m","Chdiff_m","Cent_m","Flat_m","Shannon_m","RMS_sd","Chdiff_sd","Cent_sd","Flat_sd","Shannon_sd","RMS_k","Chdiff_k","Cent_k","Flat_k","Shannon_k","Brightness_m","Zerocross_m","Rolloff_m","Spectspread_m","Spectentropy_m","Brightness_sd","Zerocross_sd","Rolloff_sd","Spectspread_sd","Spectentropy_sd","Brightness_k","Zerocross_k","Rolloff_k","Spectspread_k","Spectentropy_k","MIR8","MIR3","MIR7","MIR24","MIR4","MIR5"
"1","001-76-A Multimedia Representation of the increase of Global Warming-SVC-07.mp3",236.14693877551,0.0699931750013314,-0.0049599448131518,2861.1619077665,0.0572145998850271,0.823969060023898,0.0312362707884994,0.0206122225391116,874.27452401688,0.07514826049707,0.0314398578652208,0.000110621857912065,-1.18272946403678e-05,1.34664975437781,-2.1021973015754e-06,-9.75468920233187e-06,0.438257276564655,966.946120689655,6530.33251265086,3554.78206176724,0.831059310306035,0.0814148819137367,476.620812406059,1126.2575606776,428.07975791435,0.0253710601474727,-0.000144834985621052,-1.50754164694633,4.40572817858335,2.38433300375808,-2.30678742566135e-05,4,3,3,9,1,1
"2","002-#Carbonfeed.mp3",34.8734693877551,0.0150745027395182,0.0023761261731758,1103.40373173319,0.109836542978275,0.590097366156449,0.0100720619593552,0.00170013619844484,691.783542436188,0.0549373974666371,0.0730489633702782,4.23573875793942e-05,1.24501008679526e-06,0.645191014497453,-0.000767756076401008,-0.000403673651151093,0.132271415582353,338.588235294118,1993.14732230882,2533.91039823529,0.611353273029412,0.083348063250741,272.568996347665,2442.84618826628,822.069664005057,0.0721411795672087,-0.00060230666745238,-0.818567011489865,6.87689261486048,-4.95917881055082,-0.000431880582165898,3,1,2,2,3,4
"3","003-1945-1998.mp3",423.288163265306,0.0362524808682258,0.00555131071017954,2333.79079823985,0.0775645490071169,0.676188206072644,0.0231527722117166,0.0425959961614304,1582.90273110923,0.0859545413223311,0.105907973836947,-4.02203549454039e-05,-1.89851299436879e-05,1.46000855903996,1.83494660263942e-05,0.000140024708920345,0.262989238364706,2214.93449197861,3665.26855720989,3041.07022474599,0.670381406629679,0.203072285627277,1833.69328988765,3275.10310021193,584.736647319355,0.0723154089535795,0.000133003338131999,1.58029143626619,1.82370652954044,0.130499210174484,6.47183182765835e-05,5,3,4,23,3,3
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","005-4000 Exoplanets.mp3",73.5608163265306,0.0200013033420265,0.00411629458684751,860.374265940025,0.0222794898492634,0.633105096724496,0.0199318446428014,0.0101562843623564,203.305322338033,0.0338152699438143,0.0324902981177997,0.000162375394511618,3.59880292130443e-05,-0.98352494127578,-0.000205519601051355,0.000115845170707287,0.116826571911111,659.214814814815,1344.70865888889,1284.34264962963,0.651040189185185,0.0547858585932617,117.270282603345,292.715817698563,523.968964419581,0.028280436876519,-0.000454125166008195,0.395254121549118,-1.92656106043313,-2.4013713661594,5.99559105940893e-05,7,1,5,18,2,5
"6","006-5000 Exoplanets.mp3",78.0016326530612,0.0260043772291239,-0.000211459135506943,956.13869577377,0.0259921727601229,0.615674240859169,0.0121378519283818,0.00182420288377518,750.775911499412,0.0476142307952961,0.0608533361654563,0.000145666287426772,7.65626223193006e-06,0.716945749300359,-0.000144544065054281,0.000383890400799329,0.122604162387097,672.954838709677,1367.57546516129,1385.97310516129,0.634398190322581,0.060315853680535,231.57600480007,472.485855332936,321.661381995931,0.0520745901468455,0.000515107247818311,0.13715961457897,3.54547371799168,-1.39639478067094,0.000440270583078213,7,1,5,18,2,5
"7","007-56Fe (2018).mp3",541.936326530612,0.0430738999960323,0.00172727770525822,2485.41741517385,0.0535550564805479,0.774979613788383,0.0293046396221645,0.01815921520086,1625.76059020258,0.0399290654688702,0.0973743091519459,1.25337878737619e-05,-2.22474470017587e-07,0.342731761209084,8.304289589459e-06,-2.46205694248844e-05,0.382596502149224,1123.6323957323,5167.96875013094,2888.58674967022,0.785360680543162,0.235581130239919,1009.04243643284,3616.88477821227,1191.63431821894,0.0928270931090376,-1.55455521800776e-05,-0.153468140537154,1.57233832767771,0.613036274732426,-2.2795223434142e-05,4,3,3,23,1,3
"8","008-A Comet_s Life.mp3",92.0816326530612,0.0168723776319209,0.00463552435750379,2438.9830846064,0.0590273354473609,0.712369414876302,0.00685284231623501,0.00920413981666629,1692.66653926934,0.0650878214977366,0.109389206744568,-5.16112443633448e-05,2.50556065736844e-05,2.24207963700372,9.58715515612628e-05,0.000391932157308476,0.236575538206648,970.60989010989,4881.5667952967,2959.74862905495,0.724501565642857,0.214555323282764,388.039250892403,4656.10680810769,1398.06191947682,0.103627076628919,0.000305322453531084,-0.397173306420659,5.58734543937395,5.08500904396499,0.000373636507425369,4,3,3,13,1,3
"9","009-A Dark Tour of the Universe.mp3",65.985306122449,0.01131418708582,-0.000848406372418477,5268.23138536456,0.171441535978468,0.712832021780028,0.00848337515246536,0.00854706282597162,1106.7375187765,0.107591751257537,0.103195299408515,-8.48143654135303e-05,4.1744759855714e-05,11.9093605200872,-0.00114792737940055,0.00161444717067005,0.834555347637097,3557.03225806452,9841.42271701613,4202.93084120968,0.716804619725806,0.0994272925498874,1451.31586458233,2061.33682993207,471.901372742062,0.0861086620472619,0.000160253136758982,33.9835279307632,-13.6973556347758,-5.42155636845004,0.00123693171738474,6,2,1,6,4,2
"10","010-A Galaxy of Suns.mp3",186.984489795918,0.0107452870220327,0.00105240725997058,1353.02496022704,0.243128380099673,0.420823287547481,0.00918089637585211,0.00636971457560084,1374.86283936563,0.217357218934899,0.140003149254416,-1.26912209056878e-06,-5.6329710155707e-06,-0.0727886614732603,0.0002878141211772,-4.48395105005233e-05,0.117896772393393,559.6996996997,1439.23273854054,2224.56445934835,0.456799771915916,0.146398045782662,397.48068063217,1713.99757771217,753.865888027389,0.0814824208877134,4.09801275321765e-05,-0.169946983272141,-0.392719427142731,0.864932971841402,-4.43500050468906e-05,8,1,2,17,2,5
